VARIABLES = X, Y, Z
ZONE N =      1576 E =      2828 F=FEPOINT ET=TRIANGLE
       10.0284396167        0.6890132714        0.0000000000
        9.7099326027        0.5458334939        0.0000000000
        9.8700791007        0.6154369017        0.1868347941
       10.9356640877        1.2111703956        0.0000000000
       10.6420689343        1.0220961970        0.0000000000
       10.7900457386        1.1148021869        0.1868347941
       12.0051665059        2.1062991256        0.0000000000
       11.7548819448        1.8627733464        0.0000000000
       11.8815430595        1.9829752484        0.1868347941
       12.6789464362        2.9073764681        0.0000000000
       12.4677744019        2.6292514268        0.0000000000
       12.5750950436        2.7669968988        0.1868347941
       13.3775809921        4.1144392765        0.0000000000
       13.2257376717        3.7999702434        0.0000000000
       13.3036206285        3.9562577357        0.1868347941
       13.7365657277        5.0977165836        0.0000000000
       13.6333132428        4.7641208836        0.0000000000
       13.6870036198        4.9302216089        0.2561455753
       13.9799808762        6.4709754563        0.0000000000
       13.9449120132        6.1235314442        0.0000000000
       13.9646134014        6.2970347310        0.1868347941
       13.9808274178        7.5177340657        0.0000000000
       13.9979609522        7.1689452920        0.0000000000
       13.9914928418        7.3450041203        0.2510785241
       13.7396337684        8.8913848545        0.0000000000
       13.8255734974        8.5529154620        0.0000000000
       13.7847146162        8.7226861516        0.1868347941
       13.3822399065        9.8752415161        0.0000000000
       13.5176907963        9.5533716306        0.0000000000
       13.4519728060        9.7151513604        0.1868347941
       12.6855586310       11.0834327536        0.0000000000
       12.8821307849       10.7948040041        0.0000000000
       12.7856448426       10.9403443702        0.1868347941
       12.0130752864       11.8855988550        0.0000000000
       12.2504894997       11.6295096947        0.0000000000
       12.1333795831       11.7590349921        0.1868347941
       10.9450220952       12.7824562833        0.0000000000
       11.2284929998       12.5785165547        0.0000000000
       11.0880294893       12.6822543849        0.1868347941
        9.7203683642       13.4497748769        0.0000000000
       10.0386433751       13.3060801167        0.0000000000
        9.8804020725       13.3799125308        0.1868347941
        8.7281725776       13.7833192128        0.0000000000
        9.0643166016       13.6886917232        0.0000000000
        8.8968347672       13.7381019483        0.1868347941
        7.3491007046       13.9912894875        0.0000000000
        7.6973325842       13.9651796292        0.0000000000
